19185 2.59029e+07
562 16679 2812.32
563 9759 2913.6
564 7376 4430.12
565 6819 3292.68
565 11336 1307.4
567 8510 272.508
569 3399 65.602
571 10989 1811.26
572 1944 1754.28
573 664 1699.7
574 10120 117.642
575 10749 1414.47
576 14959 6526.39
577 9794 1010.04
578 6270 1938.1
579 5332 431.109
580 7984 4656.81
581 16288 77.883
584 3417 1199.7
585 184 4639.17
586 5300 6025.86
587 7263 30.312
588 11931 556.625
589 6000 4016.79
590 7263 60.03
592 3898 4128.82
593 7073 61.305
594 15268 256.881
595 17456 208.063
595 2075 316.73
596 9356 458.851
597 8143 6.77
598 9511 5860.78
600 3413 174.951
601 118 1875.4
602 4906 1922.82
603 544 5731.6
604 12 270.136
605 374 863.229
606 7570 292.6
607 1295 6223.63
608 6681 565.511
608 9164 238.611
609 6353 104.606
610 17659 365.613
611 8286 7012.34
612 2689 337.793
612 12099 238.142
613 10662 1090.71
614 8347 294.807
615 7551 180.237
616 1775 192.609
617 14806 387.706
618 8896 1709.17
620 10561 3826.25
621 2408 198.939
623 13035 2937.59
624 10275 754.866
625 2472 406.46
626 14572 1046.71
627 15938 104.509
628 8663 353.411
629 13535 77.114
630 12848 2797.94
631 17516 2224.8
632 16031 971.263
633 2689 1187.57
634 3863 748.476
635 13642 84.575
635 15255 26.259
636 5636 101.053
638 18631 249.418
639 13034 422.861
642 14893 263.968
644 1468 1377.74
645 3984 74.854
646 8782 262.054
647 9370 758.121
647 4683 597.478
648 2871 533.517
648 15615 1661.22
650 11680 894.418
650 14146 1729.01
651 14747 3539.08
652 7286 1346.12
653 11320 375.804
654 18446 105.393
655 15808 65.426
656 11427 708.032
659 5227 459.406
660 3067 304.635
661 4114 2.207
661 2304 46.827
661 16022 7.734
662 7098 349.699
663 9246 90.038
664 3775 4317.19
665 17149 2399.12
666 17946 337.975
667 13463 2717.93
668 250 1788.48
669 4823 411.814
669 17316 149.929
670 9804 653.493
671 5683 4102.64
672 3081 217.006
673 13908 2785
674 10344 3136.38
675 10439 312.797
676 8879 15.603
677 17438 59.936
678 432 261.81
679 12022 4925.97
681 6733 100.33
683 10631 234.353
684 8309 2909.73
685 17617 8410.58
686 2162 302.864
687 12683 3002.46
688 11901 4470.68
689 6061 391.045
690 18587 1221.49
691 4617 108.774
692 5757 6441.66
693 7810 72.278
694 46 467.336
695 8489 540.943
696 6490 75.788
696 13015 112.628
697 9816 5542.07
698 10617 1138.78
699 9729 3286.38
700 3253 132.345
701 171 294.773
702 277 6.256
702 17306 5.39
703 5009 1738.82
704 9562 130.037
705 7589 106.412
706 339 2210.08
707 9696 2688.08
708 16875 6077.56
709 1685 919.568
710 720 894.519
711 10229 4641.1
712 3081 8698.13
713 16515 1977.61
713 10140 284.173
714 6358 2224.88
715 9464 3296.14
716 6769 194.805
716 3329 592.629
717 13553 811.412
718 2137 1698.06
719 16753 170.093
721 6181 1033.87
722 810 2876.31
723 14409 140.666
725 4080 4605
726 6382 494.894
727 11999 98.323
727 3125 27.624
728 4782 1751.12
729 15615 1710.03
730 862 8.831
731 793 1447.94
732 1353 1135.96
733 12915 453.257
734 15713 60.786
735 9352 4070.39
736 13633 1588.49
737 4276 2344.69
738 15903 67.355
739 9794 558.377
739 18624 123.497
740 9892 0.12
742 6806 584.059
743 15432 162.177
744 18610 257.702
745 17759 1056.4
745 4849 955.021
746 7299 119.056
747 13785 1104.87
748 1970 9436.31
749 14741 1541.96
750 2484 2424.52
750 4518 286.533
752 8332 61.981
753 2002 126.679
754 10233 799.093
754 1041 198.554
755 9050 4124.13
756 3792 1651.21
757 15810 6227.45
758 10224 172.734
758 5532 80.17
759 11091 171.846
760 13154 3438.51
761 184 2989.58
762 9630 509.833
763 13297 754.485
764 375 4212.05
765 375 915.541
766 3274 11.361
767 10741 938.476
768 11735 1249.1
769 7175 2488.26
770 4011 3680.61
771 17722 4000.39
772 5717 3176.64
773 820 237.287
774 18757 69.08
775 1665 1378.75
776 6478 126.07
777 16303 39.645
778 1570 232.962
779 18318 262.944
780 184 2339.4
781 11817 6250.53
783 7986 778.241
784 7723 128.292
784 2273 106.838
785 1275 150.325
786 16035 49.06
787 3718 8100.94
789 5995 402.283
790 5919 352.943
791 14559 108.201
791 13467 65.3
791 1759 62.844
792 6109 94.664
793 11635 150.488
794 17695 1331.2
795 14037 751.455
796 14314 1096.07
797 13923 8683.38
798 2838 6549.72
800 3393 268.065
801 3645 134.604
801 9594 227.432
802 13502 58.639
803 16916 968.812
804 18120 4056.43
805 14499 718.473
806 11755 866.445
807 7848 4903.02
809 18700 490.466
811 3668 1710.67
812 14189 241.064
813 10472 201.275
814 14388 6686.63
815 3952 5955.44
816 13700 4722.99
817 4850 226.151
818 4569 36.401
818 2819 1018.09
819 753 5564.88
820 17364 2976.66
821 2458 3.145
822 14879 308.264
822 16677 43.416
823 6500 103.052
824 12590 975.799
825 392 342.945
826 1941 7785.49
827 7286 347.79
829 2236 594.949
830 5137 155.269
831 10615 142.377
832 9383 182.816
833 9710 4236.62
834 6290 1109.39
835 2433 442.42
836 12908 11.759
837 184 6034.71
838 4690 1002.46
839 5105 144.775
839 4834 132.262
840 13555 6930.66
842 5661 901.453
844 16447 214.958
846 7673 471.396
847 6663 1186.97
848 7031 888.583
849 12683 228.825
851 9022 295.018
852 10009 138.091
853 12115 904.119
854 10948 45.652
855 15034 238.649
857 18490 35.328
858 7444 41.326
859 7102 249.642
860 7175 2791.57
861 5319 78.012
862 13566 171.979
865 16951 178.679
866 13141 117.354
867 3430 1106.91
868 10747 596.183
869 15686 177.586
870 18191 5833.27
871 12630 90.223
872 5864 282.832
873 5919 416.646
874 15632 1256.95
875 11145 1186.4
876 14809 430.104
878 10964 6513.11
880 16958 206.28
881 7344 6.978
881 14482 25.927
882 17439 1623.26
883 9406 66.477
884 2713 774.058
885 2905 237.933
886 8034 3391.04
887 895 1427.43
887 12496 539.08
888 1130 485.482
889 15520 4049.21
890 12747 1853.93
891 7699 337.547
892 5675 194.396
892 1454 247.13
893 14506 6039.75
894 2739 162.05
894 14394 236.817
895 887 4208.52
896 14274 612.427
897 3719 27.677
898 4024 135.228
899 219 7.073
900 17448 2155.93
901 7064 21.662
902 18040 1393.18
903 18231 780.996
904 3386 1026.68
905 15373 8250.06
906 6742 163.724
907 5104 172.037
908 3713 2624.79
909 9251 2716.31
911 5569 522.054
912 13229 162.985
913 3052 376.027
914 13741 523.396
915 17339 1463.3
916 9256 600.605
917 12115 2419.87
918 5153 253.369
918 14650 340.104
918 14624 345.404
918 7129 61.75
919 6149 974.966
920 7337 1290.55
921 647 1291.94
922 2278 1231.85
923 13817 912.277
924 297 1540.57
925 11268 118.499
926 907 47.348
927 11037 170.181
928 6070 6220.52
930 2458 1452.23
931 16680 358.104
932 15360 498.046
933 4203 5541.53
934 12348 457.946
934 8065 9.628
935 10415 218.898
936 17554 906.774
938 6635 126.466
938 2297 98.965
939 4715 1817.35
940 3146 78.557
940 184 108.521
941 9388 561.92
942 14092 12.877
943 4051 1568.69
943 1946 1595.39
944 5813 17.949
945 15733 522.14
945 12809 8771.35
946 11591 56.344
946 3455 134.534
947 5798 213.133
948 8315 399.697
949 10139 136.135
950 3034 244.682
952 4957 1634.58
953 6553 299.121
954 8178 98.675
955 17973 2524.88
956 15885 757.038
957 3123 6474.86
958 2573 357.845
959 15997 2178.19
960 1208 3300.62
961 11273 3976.06
962 12286 388.713
962 2566 275.416
963 16416 357.3
964 15008 2055.71
965 8415 266.902
966 2913 1905.33
967 9732 1657.02
968 874 1570.33
969 13738 1389.92
970 821 4259.43
972 12625 3636.1
973 16038 135.987
974 16793 1497.11
975 8567 454.018
976 8521 1156.05
977 13576 5572.39
978 15938 80.256
979 11192 821.603
981 232 178.849
982 14246 1217.78
982 5499 1572.33
983 11833 516.857
984 802 3487.85
985 4594 11.15
986 1570 461.918
987 729 2053.54
988 1696 5385.79
989 1199 2018.81
990 16893 25.375
991 4160 27.39
992 6853 320.133
993 10410 1452.97
994 10521 270.422
994 15449 737.289
995 9930 73.898
996 604 8.133
997 15604 47.023
998 6871 1954.09
998 13421 406.701
999 2059 594.947
1000 4179 335.895
1001 3068 332.818
1003 13227 64.886
1004 4480 1512.04
1006 13993 48.798
1006 4206 224.753
1007 13122 3999.89
1008 4985 776.186
1008 14634 787.344
1009 12698 1043.59
1011 390 841.854
1011 13910 1243.79
1012 8143 5.939
1013 6791 893.224
1014 11252 2522.86
1014 10918 3038.11
1015 6088 758.131
1016 94 306.838
1017 8638 97.846
1017 309 3336.66
1018 10493 228.961
1019 2277 70.205
1020 14847 281.954
1021 12524 249.346
1022 10558 3467.37
1023 2247 2806.88
1023 929 216.219
1024 14255 341.465
1027 12662 2154.35
1028 2792 346.603
1029 5886 4159.34
1030 9232 331.262
1031 13089 930.975
1033 14085 72.402
1034 1018 3997.22
1035 6379 33.522
1035 7033 884.047
1037 447 144.206
1038 5712 832.661
1039 11976 317.347
1042 16554 316.114
1044 8023 602.702
1045 7394 3660.09
1046 12894 605.663
1047 3227 1586.97
1048 1396 6731.04
1051 3025 785.777
1052 10059 6784.94
1053 1154 396.785
1054 12355 3750.04
1055 7207 1904.67
1056 15938 44.554
1057 5151 587.053
1058 5244 21.998
1058 18564 20.667
1059 17032 463.263
1059 4489 2660.11
1060 14196 6613.17
1061 17691 323.046
1061 2676 616.538
1062 8015 3158.24
1062 8371 202.188
1063 10680 1258.33
1064 7826 238.392
1065 16230 2516.54
1066 5173 359.038
1067 16572 17.082
1067 7489 181.652
1068 934 787.856
1069 9770 532.878
1070 17917 1574.62
1071 2244 6.583
1072 6830 2090.7
1073 11766 264.468
1074 16975 171.679
1074 10595 433.009
1075 9736 489.58
1076 18096 8645.53
1077 10494 630.273
1078 5501 1590.79
1079 4501 38.803
1080 5644 69.982
1080 15545 1311.91
1081 1753 34.898
1082 12927 288.012
1082 1083 740.376
1083 4888 1396.86
1083 2476 429.492
1084 1754 6357.46
1085 209 1395.12
1085 5703 2946.92
1086 10834 1486.23
1087 14308 690.511
1088 6901 739.855
1089 10382 251.438
1090 2620 1010.66
1091 6868 416.449
1092 14897 64.559
1092 16064 450.697
1093 15839 64.755
1094 14298 6313.63
1096 13449 19.557
1096 5186 71.984
1098 4626 20.217
1099 17904 213.964
1099 16246 53.579
1100 9564 132.703
1100 9261 344.395
1101 6211 56.243
1102 11888 242.29
1103 3910 19.573
1103 18032 382.597
1104 17794 335.368
1104 1480 250.32
1105 7266 875.383
1106 8109 1156.73
1107 8671 2512.48
1107 15370 2155.48
1108 1535 6527.9
1109 13548 520.197
1110 16876 5198.29
1111 12427 375.273
1111 10161 258.54
1112 13835 857.049
1113 10433 20.439
1115 3299 1209.9
1115 8035 73.451
1117 16147 104.199
1118 6764 7441.37
1119 544 949.343
1120 11389 7683.82
1120 2039 7511.34
1121 3323 95.774
1122 910 5922.25
1123 678 315.792
1124 15621 10.352
1125 4700 294.692
1126 4330 1309.44
1127 11255 685.232
1128 13037 7184.62
1129 14898 400.982
1130 9814 426.615
1131 15826 1155.42
1133 6763 517.05
1134 11499 419.177
1135 18620 104.979
1135 10042 95.513
1136 17767 6.15
1137 16312 451.807
1138 6556 4576.1
1139 2324 9043.47
1140 11618 35.495
1140 10231 87.946
1141 7970 38.404
1142 7896 178.686
1145 3564 1687.83
1146 7990 391.954
1147 10518 88.185
1148 379 354.361
1149 10611 1301.15
1152 1876 15.547
1154 5968 54.599
1156 17861 144.955
1157 2873 462.653
1158 843 69.7
1158 10731 261.587
1159 16188 575.33
1160 17907 13.785
1160 14131 1.77
1161 1849 3288.2
1162 15313 63.69
1163 17872 578.09
1164 15730 442.625
1165 12625 2096.32
1166 9823 263.68
1167 18752 129.487
1168 7048 1.51
1168 15283 11.26
1169 6521 13.973
1170 5208 159.922
1171 3227 2510.11
1172 6515 388.197
1173 16031 377.055
1174 4749 260.458
1175 18589 169.454
1176 8394 2098.13
1178 8442 6681.31
1178 296 1569.68
1179 5094 4212.41
1180 11766 2149.58
1180 9990 916.423
1181 13584 2856.38
1182 6866 1161.86
1183 13207 3533.14
1184 17108 91.864
1185 2919 1188.86
1185 6433 1033.97
1186 1658 212.867
1187 18486 186.894
1188 6908 197.432
1189 639 1275.72
1190 13451 6475.24
1191 10659 1290.24
1192 10027 1236.23
1193 2224 100.446
1194 7273 2626.24
1195 962 309.146
1196 13191 9038.76
1197 10770 9.518
1198 15938 1243.52
1199 12738 539.478
1202 6019 4829.5
1202 14271 3463.72
1204 13500 1167.94
1205 12897 597.724
1205 7971 5.919
1206 9855 1187.2
1208 1535 4673.18
1209 6848 815.438
1210 7007 251.025
1211 9588 4244.75
1212 15061 3463.3
1213 18226 1888.75
1214 15611 361.399
1216 6462 3965.57
1218 9882 1248
1219 9080 369.151
1219 166 752.649
1220 7194 6147.13
1221 6823 16.896
1222 3079 101.926
1223 12121 5700.34
1224 15103 1863.07
1225 12326 13.416
1225 4004 10.422
1226 9175 479.732
1227 13780 500.928
1228 2844 998.858
1229 9257 1093.98
1230 4635 9495.21
1231 1432 3096.58
1233 15626 96.788
1234 14748 555.729
1235 13301 9296.27
1236 14711 960.195
1237 753 81.536
1238 14626 1470.94
1239 8547 1063.04
1240 14499 135.206
1241 13524 6496.93
1242 3294 2645.12
1243 1358 927.03
1244 18757 5816.01
1245 5077 29.746
1246 4490 3379.63
1247 14902 103.935
1249 7266 4226.26
1250 6313 76.147
1250 10789 8.748
1251 4853 802.708
1252 975 8154.03
1253 5765 236.491
1254 16349 2464.55
1255 7157 143.262
1256 15113 4265.74
1257 12504 12.483
1259 7025 610.814
1260 16928 329.486
1260 14028 142.55
1261 17554 2455.11
1262 4276 810.291
1262 9395 147.124
1263 15859 203.251
1265 17473 437.126
1266 12651 706.511
1267 7902 1887.55
1268 18089 964.684
1269 15631 103.421
1270 13194 468.267
1271 16488 3.961
1272 13777 499.744
1273 11794 121.546
1273 9291 282.687
1274 16254 4701.16
1275 854 110.102
1276 11423 2437.72
1277 10363 159.915
1279 940 255.016
1280 1026 96.816
1281 11941 2263.51
1282 4905 191.393
1283 10810 262.733
1284 9891 4579.76
1285 17420 726.819
1286 3430 4406.01
1287 2034 289.356
1287 6551 1219.46
1288 2359 235.65
1289 8232 681.992
1290 1384 118.735
1291 8110 7554.08
1292 8496 180.182
1293 5450 1035.86
1294 6264 1977.46
1295 13134 59.654
1296 15979 2517.34
1297 6832 1873.12
1298 8693 704.066
1299 8480 7303.16
1300 850 353.54
1301 4985 3862.7
1302 5202 3813.18
1303 6967 332.863
1304 12625 5241.85
1305 10062 3601.84
1306 3229 617.976
1307 13935 262.918
1308 6348 492.108
1309 8634 3693.82
1310 15704 634.93
1311 7699 846.084
1312 18290 469.655
1313 10513 309.75
1314 16951 246.066
1315 17307 2525.38
1316 1342 173.121
1317 13995 55.153
1317 5165 26.424
1318 1193 1531.99
1319 16301 819.292
1320 6069 1229.04
1320 9287 5603.07
1321 13892 374.178
1322 1695 339.381
1323 13044 129.839
1324 9379 598.279
1325 13644 1498.59
1326 5309 64.539
1327 8706 1048.42
1328 7240 4251.87
1331 12536 434.464
1332 12766 38.521
1333 17285 964.546
1334 16533 1037.75
1335 8803 522.228
1336 184 7299.74
1337 10344 1240.28
1338 5563 30.626
1339 8854 522.495
1340 6973 816.083
1341 7632 296.176
1343 15701 2103.65
1344 8162 1411.67
1345 11301 199.286
1345 899 285.081
1346 6633 842.419
1348 17872 907.063
1348 12375 697.257
1349 5994 173.44
1350 16934 135.207
1351 15457 203.904
1352 5919 4198.22
1353 6901 338.88
1353 6823 264.382
1354 11779 5813.86
1355 7339 352.492
1356 3228 1571.91
1357 73 29.808
1358 10244 367.633
1359 11709 45.018
1360 13240 108.515
1361 14809 310.432
1362 4069 1584.91
1363 12572 403.392
1364 17857 228.814
1364 16718 626.945
1365 1457 2602.78
1366 14985 4314.44
1367 3617 641.121
1368 5897 744.378
1369 12416 1767.29
1370 11567 1157.13
1371 13415 47.09
1371 8573 143.38
1372 18046 62.669
1373 7750 26.071
1374 5223 2897.43
1375 18525 237.771
1376 11536 92.76
1377 17328 2162.01
1378 14075 5458.05
1379 1067 82.252
1379 11333 3.231
1380 6254 2784.24
1381 1393 417.654
1382 12106 143.458
1383 13096 593.639
1384 15462 1878.32
1386 14155 751.523
1386 2817 337.059
1387 15427 3720.97
1388 17410 3474.71
1389 199 306.217
1391 1963 5.285
1391 5503 7.749
1392 3219 1289.85
1393 4561 141.33
1396 5824 181.195
1397 295 11.918
1397 1083 616.081
1398 16256 111.609
1399 8285 4470.1
1400 5895 891.744
1402 10172 4675.43
1403 7389 1377.32
1404 13057 728.411
1405 5638 25.667
1405 785 215.737
1406 13059 537.043
1407 2792 2229.58
1408 9984 188.515
1409 3642 1202.45
1410 1167 870.681
1411 134 77.377
1413 11479 7.149
1414 15162 2626.41
1414 12865 5050.79
1415 18421 574.1
1416 5138 534.04
1417 13349 413.637
1418 1774 441.036
1419 18112 3484.06
1420 1748 55.353
1421 4625 653.736
1422 14483 860.979
1422 18199 361.071
1424 2781 104.138
1424 836 59.744
1425 14402 1776.78
1426 15631 241
